URL,Detail,Linked From,Detected
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=4nh4bkt8a4uoo8qpehjqpm8u10&PHPSESSID=4nh4bkt8a4uoo8qpehjqpm8u10,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=3innv60cdgjnr3dk0t64ohk1h5&size=50&PHPSESSID=3innv60cdgjnr3dk0t64ohk1h5,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=3innv60cdgjnr3dk0t64ohk1h5&size=20&PHPSESSID=3innv60cdgjnr3dk0t64ohk1h5,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=3innv60cdgjnr3dk0t64ohk1h5&size=10&PHPSESSID=3innv60cdgjnr3dk0t64ohk1h5,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Aix-en-Provence%2C+Caen%2C+Lyon%2C+Montpellier%2C+Nancy+und+Paris&PHPSESSID=t3jc0dur4u0dugep5i6epfk7i5&size=10&PHPSESSID=t3jc0dur4u0dugep5i6epfk7i5,404 (Not found),2 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=-internship&q=cc%3Aintersolutgmbh&PHPSESSID=31hfotd648snliv7p7bl5pa2m6&size=20&PHPSESSID=31hfotd648snliv7p7bl5pa2m6,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=-internship&q=cc%3Aintersolutgmbh&PHPSESSID=31hfotd648snliv7p7bl5pa2m6&PHPSESSID=31hfotd648snliv7p7bl5pa2m6,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=cc%3Aintersolutgmbh&PHPSESSID=31hfotd648snliv7p7bl5pa2m6&size=10&PHPSESSID=31hfotd648snliv7p7bl5pa2m6,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Android+OR+iOS+OR+iPhone+OR+ObjectiveC+OR+ObjC+OR+iPad+OR+mobile+OR+apps&PHPSESSID=3innv60cdgjnr3dk0t64ohk1h5&PHPSESSID=3innv60cdgjnr3dk0t64ohk1h5,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=%C3%BCbersetz&PHPSESSID=qsc0tuspp2gj58mcdjkjgrd9o7&size=50&PHPSESSID=qsc0tuspp2gj58mcdjkjgrd9o7,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=cc%3Aintersolutgmbh&PHPSESSID=31hfotd648snliv7p7bl5pa2m6&size=20&PHPSESSID=31hfotd648snliv7p7bl5pa2m6,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/feed/index?q=cc%3Aintersolutgmbh&tab=-internship&PHPSESSID=31hfotd648snliv7p7bl5pa2m6,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Aix-en-Provence%2C+Caen%2C+Lyon%2C+Montpellier%2C+Nancy+und+Paris&PHPSESSID=t3jc0dur4u0dugep5i6epfk7i5&PHPSESSID=t3jc0dur4u0dugep5i6epfk7i5,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=cc%3Aintersolutgmbh&PHPSESSID=31hfotd648snliv7p7bl5pa2m6&PHPSESSID=31hfotd648snliv7p7bl5pa2m6,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=%C3%BCbersetz&PHPSESSID=qsc0tuspp2gj58mcdjkjgrd9o7&size=20&PHPSESSID=qsc0tuspp2gj58mcdjkjgrd9o7,404 (Not found),2 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=cc%3Aintersolutgmbh&PHPSESSID=31hfotd648snliv7p7bl5pa2m6&PHPSESSID=31hfotd648snliv7p7bl5pa2m6,404 (Not found),2 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=%C3%B6ffentlichkeitsarbeit+OR+'public+relation'&PHPSESSID=174resd1i4sgkgnt335vhfiik3&size=20&PHPSESSID=174resd1i4sgkgnt335vhfiik3,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=cc%3Aintersolutgmbh&PHPSESSID=31hfotd648snliv7p7bl5pa2m6&size=50&PHPSESSID=31hfotd648snliv7p7bl5pa2m6,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=%C3%BCbersetz&PHPSESSID=qsc0tuspp2gj58mcdjkjgrd9o7&PHPSESSID=qsc0tuspp2gj58mcdjkjgrd9o7,404 (Not found),unavailable,10/9/11
